Month,Area_Affected,Event_Type,Demand_Loss_(MW),Number_of_Customers_Affected,Date_Time_Event_Began,Date_Time_Restoration,Event_Duration_(hours),Year
January,Washington,System Operations,0.0,,2019-01-05 13:19:00,2019-01-05 15:07:00,1.8,2019
January,Washington,Severe Weather,230.0,230000.0,2019-01-06 03:00:00,2019-01-09 07:00:00,76.0,2019
January,California,Severe Weather,300.0,90382.0,2019-01-06 17:56:00,2019-01-06 21:52:00,3.93,2019
January,Washington,Severe Weather,,230000.0,2019-01-06 01:00:00,2019-01-06 12:00:00,11.0,2019
January,Michigan,System Operations,0.0,0.0,2019-01-07 20:57:00,2019-01-07 21:32:00,0.58,2019
January,New Mexico,Suspicious Activity,0.0,0.0,2019-01-09 11:55:00,2019-01-09 11:56:00,0.02,2019
January,Montana,System Operations,11.0,2.0,2019-01-10 12:19:00,2019-01-10 12:48:00,0.48,2019
January,Maine,System Operations,0.0,0.0,2019-01-11 11:36:00,2019-01-11 12:43:00,1.12,2019
January,Missouri,Severe Weather,,112530.0,2019-01-12 11:30:00,2019-01-13 22:00:00,34.5,2019
January,Missouri,Severe Weather,,116600.0,2019-01-12 11:30:00,,,2019
January,New Hampshire,System Operations,0.0,0.0,2019-01-12 19:20:00,2019-01-12 21:38:00,2.3,2019
January,North Carolina,Severe Weather,133200.0,,2019-01-13 05:30:00,2019-01-15 17:00:00,59.5,2019
January,Michigan,Actual Physical Attack,,,2019-01-14 11:10:00,,,2019
January,Pennsylvania,Vandalism,0.0,0.0,2019-01-15 08:00:00,2019-01-15 08:02:00,0.03,2019
January,California,Severe Weather,190.0,126700.0,2019-01-16 17:26:00,2019-01-17 12:19:00,18.88,2019
January,Texas,System Operations,0.0,0.0,2019-01-16 05:19:00,2019-01-16 07:14:00,1.92,2019
January,Nebraska,Transmission Interruption,8.0,,2019-01-18 21:54:00,2019-01-19 00:19:00,2.42,2019
January,Colorado,System Operations,0.0,0.0,2019-01-23 07:26:00,2019-01-23 17:05:00,9.65,2019
January,Ohio,System Operations,0.0,0.0,2019-01-24 04:39:00,2019-01-24 05:16:00,0.62,2019
January,Utah,Actual Physical Attack,0.0,0.0,2019-01-28 13:35:00,2019-01-28 13:40:00,0.08,2019
January,Louisiana,Transmission Interruption,,,2019-01-29 18:34:00,2019-01-29 18:36:00,0.03,2019
January,Washington,Vandalism,0.0,0.0,2019-01-30 16:30:00,,,2019
January,Illinois,Fuel Supply Deficiency,,,2019-01-30 04:23:00,2019-02-02 09:00:00,76.62,2019
January,Michigan,Severe Weather,,,2019-01-30 09:30:00,2019-01-31 18:00:00,32.5,2019
January,Illinois,Severe Weather,,,2019-01-30 07:00:00,2019-01-30 08:08:00,1.13,2019
January,California,Vandalism,0.0,0.0,2019-01-31 21:33:00,2019-01-31 21:34:00,0.02,2019
February,Nevada,Vandalism,,1.0,2019-02-01 23:57:00,2019-02-02 08:49:00,8.87,2019
February,Massachusetts,System Operations,0.0,0.0,2019-02-01 05:35:00,2019-02-01 06:10:00,0.58,2019
February,California,Vandalism,0.0,0.0,2019-02-02 10:28:00,2019-02-02 10:29:00,0.02,2019
February,California,Severe Weather,42.0,33200.0,2019-02-05 18:17:00,2019-02-05 20:26:00,2.15,2019
February,Arkansas,Severe Weather/Transmission Interruption,3.0,3370.0,2019-02-07 07:39:00,2019-02-07 07:40:00,0.02,2019
February,Michigan,Severe Weather,,233000.0,2019-02-07 08:55:00,2019-02-09 16:30:00,55.58,2019
February,Pennsylvania,Vandalism,0.0,0.0,2019-02-08 10:00:00,2019-02-08 10:30:00,0.5,2019
February,Washington,Severe Weather,,50940.0,2019-02-08 18:30:00,,,2019
February,California,Severe Weather,182.0,121000.0,2019-02-13 02:48:00,2019-02-15 00:28:00,45.67,2019
February,New Jersey,Vandalism,0.0,0.0,2019-02-14 08:50:00,2019-02-14 12:10:00,3.33,2019
February,Utah,Vandalism,0.0,0.0,2019-02-14 12:15:00,2019-02-14 12:16:00,0.02,2019
