Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,Year
January ,01/05/2019,13:19:00,01/05/2019,15:07:00,Washington:,WECC,Complete loss of Interpersonal Communication and Alternative Interpersonal Communication capability affecting its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,Unknown,2019
January,01/06/2019,03:00:00,01/09/2019,07:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000,2019
January,01/06/2019,17:56:00,01/06/2019,21:52:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382,2019
January,01/06/2019,01:00:00,01/06/2019,12:00:00,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000,2019
January,01/07/2019,20:57:00,01/07/2019,21:32:00,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
January,01/09/2019,11:55:00,01/09/2019,11:56:00,New Mexico: San Juan County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,2019
January,01/10/2019,12:19:00,01/10/2019,12:48:00,Montana: Valley County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,11,2,2019
January,01/11/2019,11:36:00,01/11/2019,12:43:00,Maine:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
January,01/12/2019,11:30:00,01/13/2019,22:00:00,Missouri: Jackson County; Kansas: Johnson County;,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,112530,2019
January,01/12/2019,11:30:00,Unknown,Unknown,Missouri: Nebraska:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,116600,2019
January,01/12/2019,19:20:00,01/12/2019,21:38:00,New Hampshire:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2019
January,01/13/2019,05:30:00,01/15/2019,17:00:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown,2019
January,01/14/2019,11:10:00,Unknown,Unknown,Michigan:,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Actual Physical Attack,Unknown,Unknown,2019
