Month,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year,Date/Time Event Began,Date/Time Restoration
January,Washington,WECC,System Operations,0,Unknown,2019,2019-01-05 13:19:00,2019-01-05 15:07:00
January,Washington,WECC,Severe Weather,230,230000,2019,2019-01-06 03:00:00,2019-01-09 07:00:00
January,California,WECC,Severe Weather,300,90382,2019,2019-01-06 17:56:00,2019-01-06 21:52:00
January,Washington,WECC,Severe Weather,Unknown,230000,2019,2019-01-06 01:00:00,2019-01-06 12:00:00
January,Michigan,RF,System Operations,0,0,2019,2019-01-07 20:57:00,2019-01-07 21:32:00
January,New Mexico,WECC,Suspicious Activity,0,0,2019,2019-01-09 11:55:00,2019-01-09 11:56:00
January,Montana,WECC,System Operations,11,2,2019,2019-01-10 12:19:00,2019-01-10 12:48:00
January,Maine,RF,System Operations,0,0,2019,2019-01-11 11:36:00,2019-01-11 12:43:00
January,Missouri,SPP RE,Severe Weather,Unknown,112530,2019,2019-01-12 11:30:00,2019-01-13 22:00:00
January,Missouri,SERC,Severe Weather,Unknown,116600,2019,2019-01-12 11:30:00,
January,New Hampshire,NPCC,System Operations,0,0,2019,2019-01-12 19:20:00,2019-01-12 21:38:00
January,North Carolina,SERC,Severe Weather,133200,Unknown,2019,2019-01-13 05:30:00,2019-01-15 17:00:00
January,Michigan,RF,Actual Physical Attack,Unknown,Unknown,2019,2019-01-14 11:10:00,
January,Pennsylvania,RF,Vandalism,0,0,2019,2019-01-15 08:00:00,2019-01-15 08:02:00
January,California,WECC,Severe Weather,190,126700,2019,2019-01-16 17:26:00,2019-01-17 12:19:00
January,Texas,TRE,System Operations,0,0,2019,2019-01-16 05:19:00,2019-01-16 07:14:00
January,Nebraska,MRO,Transmission Interruption,8,Unknown,2019,2019-01-18 21:54:00,2019-01-19 00:19:00
January,Colorado,WECC,System Operations,0,0,2019,2019-01-23 07:26:00,2019-01-23 17:05:00
January,Ohio,RF,System Operations,0,0,2019,2019-01-24 04:39:00,2019-01-24 05:16:00
January,Utah,WECC,Actual Physical Attack,0,0,2019,2019-01-28 13:35:00,2019-01-28 13:40:00
January,Louisiana,SERC,Transmission Interruption,Unknown,Unknown,2019,2019-01-29 18:34:00,2019-01-29 18:36:00
January,Washington,WECC,Vandalism,0,0,2019,2019-01-30 16:30:00,
January,Illinois,SERC,Fuel Supply Deficiency,Unknown,Unknown,2019,2019-01-30 04:23:00,2019-02-02 09:00:00
January,Michigan,RF,Severe Weather,Unknown,Unknown,2019,2019-01-30 09:30:00,2019-01-31 18:00:00
January,Illinois,SERC,Severe Weather,Unknown,Unknown,2019,2019-01-30 07:00:00,2019-01-30 08:08:00
January,California,WECC,Vandalism,0,0,2019,2019-01-31 21:33:00,2019-01-31 21:34:00
February,Nevada,WECC,Vandalism,Unknown,1,2019,2019-02-01 23:57:00,2019-02-02 08:49:00
February,Massachusetts,NPCC,System Operations,0,0,2019,2019-02-01 05:35:00,2019-02-01 06:10:00
February,California,WECC,Vandalism,0,0,2019,2019-02-02 10:28:00,2019-02-02 10:29:00
February,California,WECC,Severe Weather,42,33200,2019,2019-02-05 18:17:00,2019-02-05 20:26:00
February,Arkansas,SERC,Severe Weather/Transmission Interruption,3,3370,2019,2019-02-07 07:39:00,2019-02-07 07:40:00
