Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year
January,01/06/2019,03:00:00,01/09/2019,07:00:00,Washington,WECC,Severe Weather,230,230000,2019
January,01/06/2019,17:56:00,01/06/2019,21:52:00,California,WECC,Severe Weather,300,90382,2019
January,01/07/2019,20:57:00,01/07/2019,21:32:00,Michigan,RF,System Operations,0,0,2019
January,01/09/2019,11:55:00,01/09/2019,11:56:00,Mexico,WECC,Suspicious Activity,0,0,2019
January,01/10/2019,12:19:00,01/10/2019,12:48:00,Montana,WECC,System Operations,11,2,2019
January,01/11/2019,11:36:00,01/11/2019,12:43:00,Maine,RF,System Operations,0,0,2019
January,01/12/2019,19:20:00,01/12/2019,21:38:00,Hampshire,NPCC,System Operations,0,0,2019
January,01/15/2019,08:00:00,01/15/2019,08:02:00,Pennsylvania,RF,Vandalism,0,0,2019
January,01/16/2019,17:26:00,01/17/2019,12:19:00,California,WECC,Severe Weather,190,126700,2019
January,01/16/2019,05:19:00,01/16/2019,07:14:00,Texas,TRE,System Operations,0,0,2019
January,01/23/2019,07:26:00,01/23/2019,17:05:00,Colorado,WECC,System Operations,0,0,2019
January,01/24/2019,04:39:00,01/24/2019,05:16:00,Ohio,RF,System Operations,0,0,2019
January,01/28/2019,13:35:00,01/28/2019,13:40:00,Utah,WECC,Actual Physical Attack,0,0,2019
January,01/31/2019,21:33:00,01/31/2019,21:34:00,California,WECC,Vandalism,0,0,2019
February,02/01/2019,05:35:00,02/01/2019,06:10:00,Massachusetts,NPCC,System Operations,0,0,2019
February,02/02/2019,10:28:00,02/02/2019,10:29:00,California,WECC,Vandalism,0,0,2019
February,02/05/2019,18:17:00,02/05/2019,20:26:00,California,WECC,Severe Weather,42,33200,2019
February,02/07/2019,07:39:00,02/07/2019,07:40:00,Arkansas,SERC,Severe Weather/Transmission Interruption,3,3370,2019
February,02/08/2019,10:00:00,02/08/2019,10:30:00,Pennsylvania,RF,Vandalism,0,0,2019
February,02/13/2019,02:48:00,02/15/2019,00:28:00,California,WECC,Severe Weather,182,121000,2019
February,02/14/2019,08:50:00,02/14/2019,12:10:00,New Jersey,RF,Vandalism,0,0,2019
February,02/14/2019,12:15:00,02/14/2019,12:16:00,Utah,WECC,Vandalism,0,0,2019
February,02/20/2019,12:50:00,02/20/2019,13:32:00,"Wisconsin, Minnesota, Iowa, Illinois",MRO,System Operations,740,0,2019
February,02/25/2019,07:45:00,02/25/2019,18:40:00,Massachusetts,NPCC,Transmission Interruption,0,0,2019
February,02/27/2019,11:25:00,02/27/2019,17:39:00,Iowa,MRO,Transmission Interruption,0,0,2019
February,02/27/2019,21:35:00,02/27/2019,21:45:00,South Carolina,SERC,Suspicious Activity,0,0,2019
February,02/28/2019,07:02:00,02/28/2019,07:33:00,"Oklahoma, Arkansas, Louisiana",SPP RE,System Operations,0,0,2019
March,03/04/2019,11:39:00,03/08/2019,16:52:00,Oklahoma,SPP RE,Vandalism,0,0,2019
March,03/05/2019,09:12:00,03/05/2019,18:57:00,California,WECC,System Operations,0,0,2019
March,03/13/2019,15:51:00,03/16/2019,18:00:00,Texas,TRE,Severe Weather/Transmission Interruption,50,54290,2019
March,03/13/2019,11:29:00,03/14/2019,21:11:00,Colorado,WECC,Severe Weather,58,58379,2019
March,03/13/2019,06:12:00,03/13/2019,06:13:00,California,WECC,Vandalism,0,0,2019
March,03/19/2019,22:53:00,03/19/2019,22:54:00,Oklahoma,SPP RE,Vandalism,0,0,2019
March,03/21/2019,10:00:00,03/21/2019,10:05:00,Utah,WECC,Vandalism,0,0,2019
March,03/29/2019,23:36:00,03/30/2019,02:00:00,California,WECC,Suspicious Activity,0,0,2019
April,04/01/2019,14:15:00,04/06/2019,17:20:00,Nevada,WECC,Actual Physical Attack,0,0,2019
April,04/01/2019,06:51:00,04/01/2019,07:53:00,York,NPCC,System Operations,0,0,2019
April,04/01/2019,06:51:00,04/01/2019,07:53:00,York,NPCC,System Operations,0,0,2019
April,04/02/2019,08:33:00,04/02/2019,09:00:00,California,WECC,Vandalism,0,0,2019
April,04/02/2019,10:15:00,04/02/2019,10:16:00,Utah,WECC,Vandalism,0,0,2019
April,04/03/2019,05:15:00,04/03/2019,12:39:00,California,WECC,Fuel Supply Deficiency,0,0,2019
April,04/04/2019,10:13:00,04/04/2019,12:08:00,Montana,WECC,Transmission Interruption,0,0,2019
April,04/07/2019,13:46:00,04/08/2019,17:50:00,Texas,TRE,Severe Weather,537,231956,2019
April,04/10/2019,11:59:00,04/10/2019,12:00:00,Virginia,SERC,Suspicious Activity,0,0,2019
April,04/11/2019,19:48:00,04/11/2019,20:00:00,Oregon,WECC,Transmission Interruption,0,0,2019
April,04/12/2019,11:20:00,04/12/2019,12:46:00,Minnesota,MRO,Transmission Interruption,0,0,2019
April,04/15/2019,10:00:00,04/15/2019,14:00:00,Minnesota,MRO,Vandalism,0,0,2019
April,04/16/2019,10:30:00,04/16/2019,11:00:00,California,WECC,Vandalism,0,0,2019
April,04/17/2019,19:38:00,04/17/2019,23:52:00,Arizona,WECC,System Operations,0,0,2019
April,04/18/2019,20:08:00,04/19/2019,11:00:00,Colorado,WECC,Transmission Interruption,0,0,2019
April,04/18/2019,19:55:00,04/19/2019,17:29:00,Alabama,SERC,Severe Weather,116,34695,2019
April,04/21/2019,10:40:00,04/21/2019,10:45:00,Utah,WECC,Vandalism,0,0,2019
April,04/25/2019,18:03:00,04/25/2019,18:32:00,Arizona,WECC,Generation Inadequacy,150,51366,2019
April,04/26/2019,01:00:00,04/26/2019,13:27:00,Pennsylvania,RF,Transmission Interruption,7,5830,2019
April,04/26/2019,15:16:00,04/26/2019,15:17:00,Massachusetts,NPCC,Severe Weather/Transmission Interruption,0,0,2019
April,04/28/2019,13:40:00,04/28/2019,14:49:00,Carolina,SERC,System Operations,0,0,2019
April,04/28/2019,10:43:00,04/29/2019,02:06:00,Ohio,RF,Transmission Interruption,0,0,2019
April,04/29/2019,17:17:00,04/30/2019,09:22:00,Virginia,SERC,Vandalism,0,0,2019
April,04/30/2019,12:25:00,04/30/2019,13:11:00,Indiana,RF,System Operations,0,0,2019
May,05/08/2019,09:22:00,05/08/2019,09:56:00,Pennsylvania,RF,Transmission Interruption,29,1,2019
May,05/09/2019,17:55:00,05/11/2019,20:50:00,Texas,TRE,Severe Weather,691,238015,2019
May,05/09/2019,19:06:00,05/10/2019,02:57:00,Texas,TRE,Severe Weather/Transmission Interruption,0,0,2019
May,05/11/2019,14:08:00,05/11/2019,15:00:00,California,WECC,Vandalism,0,0,2019
May,05/18/2019,01:55:00,05/18/2019,15:06:00,Colorado,WECC,Vandalism,30,0,2019
May,05/23/2019,01:11:00,05/23/2019,12:00:00,Indiana,RF,Severe Weather/Transmission Interruption,0,0,2019
May,05/24/2019,07:28:00,05/24/2019,08:30:00,Kentucky,SERC,System Operations,0,0,2019
May,05/24/2019,20:09:00,05/25/2019,14:23:00,Dakota,MRO,System Operations,0,0,2019
May,05/24/2019,21:47:00,05/24/2019,23:58:00,California,WECC,Severe Weather,20,10961,2019
May,05/27/2019,22:07:00,05/28/2019,03:00:00,Ohio,RF,Severe Weather/Transmission Interruption,347,70000,2019
June,06/04/2019,10:15:00,06/04/2019,13:15:00,Nevada,WECC,Suspicious Activity,0,0,2019
June,06/05/2019,08:37:00,06/05/2019,08:40:00,Idaho,WECC,Vandalism,0,0,2019
June,06/05/2019,10:16:00,06/05/2019,10:17:00,Dakota,MRO,Vandalism,0,0,2019
June,06/05/2019,09:46:00,06/05/2019,12:00:00,California,WECC,Vandalism,0,0,2019
June,06/07/2019,14:43:00,06/07/2019,16:20:00,Texas,TRE,Transmission Interruption,8,1,2019
June,06/08/2019,15:50:00,06/08/2019,19:40:00,Texas,TRE,Transmission Interruption,0,0,2019
June,06/11/2019,15:11:00,06/11/2019,17:00:00,Dakota,MRO,Vandalism,0,0,2019
June,06/11/2019,07:52:00,06/11/2019,07:53:00,Utah,WECC,Vandalism,0,0,2019
June,06/12/2019,14:56:00,06/12/2019,15:50:00,California,WECC,Generation Inadequacy,982,30907,2019
June,06/18/2019,06:21:00,06/18/2019,06:40:00,Washington,WECC,Suspicious Activity,0,0,2019
June,06/19/2019,11:00:00,06/19/2019,11:01:00,Oklahoma,SPP RE,Vandalism,0,0,2019
June,06/21/2019,18:36:00,06/21/2019,19:27:00,Maine,NPCC,System Operations,0,0,2019
June,06/21/2019,10:00:00,06/21/2019,11:00:00,California,WECC,Vandalism,0,0,2019
June,06/22/2019,20:46:00,06/23/2019,00:30:00,Alabama,SERC,Severe Weather,115,34637,2019
June,06/23/2019,05:13:00,06/23/2019,10:58:00,Arkansas,SPP RE,Transmission Interruption,47,16199,2019
June,06/24/2019,09:40:00,06/24/2019,15:17:00,Oklahoma,SPP RE,System Operations,0,0,2019
June,06/26/2019,13:58:00,06/26/2019,14:03:00,Dakota,MRO,Transmission Interruption,53,0,2019
June,06/30/2019,15:15:00,06/30/2019,16:15:00,York,NPCC,Severe Weather,3189,52498,2019
July,07/02/2019,13:00:00,07/02/2019,13:22:00,Idaho,WECC,Vandalism,0,0,2019
July,07/09/2019,01:59:00,07/09/2019,15:50:00,Texas,SPP RE,Vandalism,0,0,2019
July,07/10/2019,12:00:00,07/10/2019,12:15:00,Utah,WECC,Vandalism,0,0,2019
July,07/11/2019,11:08:00,07/11/2019,11:13:00,Texas,TRE,Transmission Interruption,26,2043,2019
July,07/13/2019,18:47:00,07/13/2019,23:37:00,York,NPCC,Transmission Interruption,452,72669,2019
July,07/17/2019,14:12:00,07/17/2019,14:30:00,Oklahoma,SPP RE,Suspicious Activity,0,0,2019
